x,y,label,text
6.5559435,14.285699,7," I don't know, I can't really think of anything.  I just been playing a little golf and producing a baby and that is all, really.  Just stay home."
6.738321,15.332544,7," No, and don't tell me what is going on. I don't and don't tell me what is going on.  Please."
8.645467,15.205954,2,"  Yeah, I think I'm always pretty good no matter if we have fans or not.  I always talk about staying in my bubble, and that term has really got a dif"
9.543775,10.376638,4,"I was going to say, Marcus over here was in the finals of the MVP of the American League, and here you are sitting here first Team. Does this validate"
11.015963,11.932276,2," Obviously today was more of a grind than last Thursday.  But still, still saw some good scores, obviously not as many as we saw last week."
8.839365,10.123686,2,"Yeah, I think she was tired in the third set and she -- when she start -- when I start to play, you know, longer points she was really tired."
6.210084,12.149194,2,"Yeah, Zack's preparation is probably the best in the game. There's a couple of guys here, too, as well, with Max and Stras and An??̻bal, those guys a"
9.667203,14.043518,2," I managed to hit some of my shots close, and the ones that I didn't I managed to save par."
9.139139,10.999148,3,"  Yeah, he's just battling through the heel.  He was struggling to move a little bit but toughed it out, and we'll see how he feels tomorrow."
11.718339,12.134388,3, It is like during the Wimbledon -- before the main game she was practicing and she injured at the Wimbledon.
8.026117,11.485398,1,"Yeah, I mean, having them go out there and be aggressive, a lot of the credit goes to the scout defense.  Day-in and day-out they gave us a great look"
9.071876,13.936586,2, I can't say that I turned it up because he doublefaulted three times.  I wish I could take credit for turning it up.
11.370085,11.122417,2,"  It's unusual.  It's rare that you would dominate the 500 the way we did, support a single driver to win the drivers championship, then bring home th"
7.9593854,14.09438,2,"I feel great. We've had good speed. I look at Vegas, if we didn't get the damage, get trapped down a lap there for a minute, we were really good there"
9.430358,13.98462,2," It's just about fairest match I play. Today I was expected to do win, I came through, I'm expected to win tomorrow and I'll go out and do what I do a"
5.978164,13.55154,6, We just said that we are going to make a couple of tournaments before the Open and the Open.  We didn't talk afterwards.
9.395218,14.10115,6,"You obviously love your chances, you've won it twice before, what is it about that makes this event so special?"
9.143176,12.401036,5,It's not a bad four-year run. It almost feels like it got started against us a few years ago at our place. And they've had their foot on the gas pedal
6.868171,14.218788,5,"  I had so much champagne, I don't even remember what I said to my dad.  Probably I love him.  He's proud of me and I told him this is why we work, th"
10.595492,9.037891,2,"  I hit pretty good tee shot and I have like 195 and it's like downwind, so I hit 6-iron and I have 20 feet and make the putt."
6.588993,13.533687,2,"  I don't think Andre lacked anything.  I think Andre has all of the tools to be a great player, and he is a great player."
6.921111,11.721212,5,Absolutely. We're all about winning it all. That's what we're all about. That's what fan base is all about. I think we're going to field the Team that
8.569254,14.092403,7," Last year I was here watching a little bit, yeah.  The year before, I am not sure, I might have been here too watching it.  I don't know."
10.4315405,12.122934,2," Yeah, two weeks have been just great. No one expect me to go to the quarterfinal, it has been great two weeks.  I am happy that I won. After all, I a"
10.259524,10.206201,2," You know, played very well the.  He gave me the opportunities; I took them.  That is why I played well."
10.87131,11.4740925,5,"First of all, congratulations to Stanford. They played a great match tonight. And for our group, obviously disappointing for this season to come to an"
